,Lat,Lng,Price,Tempature (F),ZipCode
0,31.77,-106.3,84300.0,11.68,79936
1,35.29,-80.82,129500.0,0.8,28269
2,34.11,-118.37,1033800.0,22.12,90046
3,29.54,-95.32,162400.0,3.5,77584
4,40.73,-73.99,2130200.0,-2.01,10003
5,38.9,-76.99,551700.0,3.26,20002
6,39.39,-76.54,150100.0,2.92,21234
7,38.78,-90.62,116700.0,5.83,63376
8,41.78,-87.71,139200.0,-1.0,60629
9,41.97,-87.7,194000.0,-0.9,60625
10,40.69,-73.99,1436700.0,-2.01,11201
11,25.92,-97.46,59900.0,4.78,78521
12,34.0,-84.01,160300.0,2.89,30043
13,33.98,-84.15,141300.0,2.67,30096
14,35.5,-97.73,101100.0,9.0,73099
15,37.75,-122.42,1358900.0,13.2,94110
16,30.04,-95.53,120200.0,3.36,77379
17,33.96,-118.29,388300.0,22.0,90044
18,33.86,-118.18,411000.0,22.11,90805
19,41.73,-87.56,92300.0,-1.0,60617
20,42.23,-83.63,103700.0,-3.46,48197
21,32.21,-110.82,121100.0,22.95,85710
22,30.21,-97.8,245300.0,6.44,78745
23,32.64,-117.07,374900.0,19.11,91910
24,40.6,-74.15,366500.0,-2.14,10314
25,40.67,-73.98,1120700.0,-2.01,11215
26,47.67,-122.12,472400.0,7.45,98052
27,30.27,-81.75,94800.0,5.59,32210
28,33.56,-84.22,78800.0,2.78,30281
29,42.23,-83.27,64700.0,-3.18,48180
30,38.27,-122.04,267800.0,13.0,94533
31,42.44,-76.5,182300.0,-9.7,14850
32,39.08,-77.06,179800.0,3.36,20906
33,36.31,-86.61,137500.0,-0.6,37075
34,35.41,-80.62,109000.0,0.41,28027
35,38.48,-121.44,188000.0,13.11,95823
36,36.1,-79.88,111400.0,0.3,27410
37,39.41,-84.52,74800.0,-1.86,45011
38,41.69,-87.62,99400.0,-1.0,60628
39,32.53,-97.31,166000.0,5.65,76028
40,26.5,-81.93,170900.0,11.48,33908
41,36.12,-115.09,125600.0,17.79,89121
42,37.75,-84.3,133600.0,-3.41,40475
43,33.92,-117.46,300500.0,23.32,92503
44,38.64,-77.27,267800.0,3.16,22191
45,34.12,-117.44,296200.0,23.14,92336
46,34.0,-84.46,146800.0,2.67,30062
47,25.87,-80.31,145700.0,14.28,33012
48,39.49,-104.84,301000.0,13.69,80134
49,33.89,-118.13,463800.0,22.11,90706
50,30.22,-81.76,76700.0,5.59,32244
51,34.08,-117.46,269200.0,23.14,92335
52,36.74,-76.24,148800.0,1.01,23320
53,34.27,-118.77,422200.0,21.24,93065
54,35.62,-77.4,57300.0,-0.34,27834
55,41.38,-81.8,104400.0,-2.9,44130
56,34.31,-118.43,407200.0,22.12,91342
57,34.11,-84.51,162200.0,2.8,30188
58,39.93,-82.0,75200.0,-3.26,43701
59,34.03,-84.24,209400.0,2.7,30022
60,34.1,-118.29,1104000.0,22.45,90027
61,26.28,-80.12,152800.0,14.17,33064
62,34.23,-84.16,159200.0,2.62,30040
63,26.27,-80.21,111600.0,14.17,33063
64,40.03,-83.14,121000.0,-3.83,43026
65,36.83,-76.1,132800.0,1.01,23452
66,33.88,-83.9,150700.0,2.89,30052
67,40.95,-73.87,384700.0,-2.08,10701
68,35.98,-78.54,149600.0,-2.57,27587
69,34.47,-93.04,104600.0,5.57,71913
70,35.62,-87.04,98000.0,-0.21,38401
71,37.25,-121.83,517200.0,14.57,95123
72,38.91,-77.02,634400.0,3.31,20001
73,34.41,-118.09,207000.0,22.33,93550
74,38.55,-90.32,133200.0,5.5,63123
75,38.77,-121.34,397100.0,13.23,95747
76,27.26,-80.38,143700.0,10.08,34953
77,35.91,-78.92,155900.0,-2.25,27713
78,41.71,-87.75,88800.0,-1.0,60453
79,34.75,-118.37,218500.0,22.0,93536
80,36.07,-119.03,129200.0,16.17,93257
81,36.86,-76.0,229800.0,1.01,23451
82,35.4,-80.87,176900.0,1.09,28078
83,42.97,-78.75,184200.0,-5.03,14221
84,40.03,-75.12,81600.0,-2.25,19120
85,44.05,-92.49,157700.0,-0.25,55901
86,33.7,-84.75,120200.0,2.77,30135
87,38.86,-77.1,387200.0,3.62,22204
88,42.06,-87.94,150700.0,-0.92,60056
89,39.12,-76.5,217500.0,3.02,21122
90,35.96,-78.93,139700.0,-2.38,27707
91,39.27,-76.49,120300.0,3.02,21222
92,39.14,-77.28,203500.0,2.94,20874
93,26.18,-80.24,86800.0,13.99,33319
94,32.48,-84.9,58400.0,4.68,31907
95,34.92,-81.01,85900.0,1.4,29730
96,34.09,-80.92,75700.0,3.89,29223
97,33.77,-118.18,407000.0,22.01,90802
98,35.33,-97.48,94200.0,8.75,73160
99,32.86,-96.6,107600.0,5.62,75043
100,38.86,-76.97,249000.0,3.44,20020
101,33.93,-117.95,447300.0,22.42,90631
102,36.2,-119.34,129000.0,15.22,93274
103,33.64,-117.69,407600.0,21.9,92630
104,37.35,-121.98,743400.0,13.99,95051
105,33.47,-112.0,148100.0,22.56,85008
106,45.34,-122.57,315600.0,7.37,97045
107,37.67,-120.95,260800.0,14.39,95355
108,39.29,-76.56,236900.0,3.02,21224
109,28.54,-81.59,129300.0,8.51,34787
110,32.98,-80.18,132300.0,1.8,29485
111,38.82,-97.64,75900.0,7.0,67401
112,35.97,-86.5,137800.0,-0.58,37167
113,39.79,-76.98,137300.0,0.91,17331
114,39.16,-76.63,186100.0,3.09,21061
115,37.32,-122.04,1211600.0,13.99,95014
116,38.61,-121.28,251400.0,13.34,95670
117,39.44,-84.62,93800.0,-1.86,45013
118,34.04,-84.5,148400.0,2.67,30066
119,39.99,-75.11,97900.0,-2.32,19134
120,34.33,-89.48,137300.0,1.63,38655
121,35.24,-80.74,80000.0,0.17,28215
122,26.35,-80.16,193200.0,14.17,33433
123,36.11,-115.22,115300.0,17.66,89103
124,43.16,-78.69,101500.0,-4.69,14094
125,35.28,-80.87,85200.0,0.92,28216
126,28.65,-81.21,128500.0,7.59,32765
127,45.78,-108.57,164900.0,7.0,59102
128,37.93,-121.69,519000.0,14.29,94513
129,36.89,-76.14,188500.0,1.09,23455
130,33.74,-84.1,63700.0,2.89,30058
131,37.3,-121.89,1047400.0,14.35,95125
132,35.19,-80.68,110300.0,0.18,28227
133,38.99,-84.64,104800.0,-1.74,41042
134,34.08,-84.65,144200.0,2.61,30101
135,34.07,-118.35,1244800.0,22.07,90036
136,26.54,-80.11,156500.0,13.75,33436
137,36.0,-80.0,91600.0,0.3,27265
138,40.59,-83.13,60300.0,-4.1,43302
139,36.03,-79.86,78700.0,0.3,27407
140,43.8,-91.22,119100.0,1.0,54601
141,35.98,-78.84,107600.0,-2.73,27703
142,42.11,-87.98,157800.0,-0.9,60004
143,38.1,-122.21,307100.0,13.01,94591
144,41.26,-111.98,127900.0,9.44,84404
145,34.26,-118.42,417400.0,22.06,91331
146,44.75,-93.2,169500.0,1.94,55124
147,42.5,-82.94,59400.0,-3.11,48066
148,34.74,-77.46,83200.0,1.01,28540
149,38.68,-77.32,209300.0,3.16,22192
150,36.14,-80.31,81300.0,0.14,27106
151,28.8,-81.28,134900.0,7.36,32771
152,34.04,-84.39,256500.0,2.7,30075
153,39.84,-84.11,82800.0,-2.55,45424
154,37.72,-121.92,593700.0,14.24,94568
155,30.58,-97.86,199300.0,6.3,78641
156,33.7,-117.76,547600.0,21.65,92620
157,35.87,-86.42,153800.0,-0.57,37129
158,34.09,-118.13,557100.0,22.42,91801
159,35.85,-86.49,154900.0,-0.57,37128
160,32.93,-97.08,238900.0,5.86,76051
161,33.61,-112.28,157700.0,22.56,85351
162,33.72,-116.22,218900.0,23.54,92201
163,35.81,-78.89,240600.0,-2.63,27519
164,30.43,-91.04,123100.0,4.53,70816
165,34.03,-117.05,268900.0,24.09,92399
166,43.12,-87.95,49600.0,-2.0,53209
167,42.62,-82.96,125500.0,-3.2,48038
168,37.67,-121.01,210500.0,14.39,95350
169,42.34,-122.84,208900.0,4.01,97504
170,40.81,-81.5,84400.0,-3.79,44646
171,33.92,-117.24,238100.0,23.68,92553
172,33.03,-96.79,277900.0,5.86,75093
173,35.37,-80.53,111800.0,-0.07,28025
174,41.49,-90.5,76800.0,0.0,61265
175,40.01,-75.15,41100.0,-2.25,19140
176,27.14,-80.21,150900.0,10.03,34997
177,35.71,-78.66,180200.0,-1.52,27603
178,38.85,-77.32,304400.0,2.93,22030
179,21.33,-157.86,406300.0,26.75,96817
180,29.56,-81.22,197900.0,5.25,32137
181,33.63,-112.33,227800.0,22.63,85374
182,37.43,-77.65,174500.0,2.02,23112
183,26.2,-97.69,68100.0,4.48,78550
184,41.5,-81.47,110900.0,-2.64,44124
185,33.87,-84.34,342900.0,2.82,30319
186,34.14,-80.89,92300.0,3.88,29229
187,40.76,-73.99,1772700.0,-2.16,10036
188,38.76,-90.55,139100.0,5.51,63303
189,42.33,-83.47,167200.0,-3.25,48187
190,33.52,-101.93,149200.0,10.0,79424
191,34.94,-89.85,115100.0,-0.78,38654
192,38.82,-90.74,154000.0,5.83,63366
193,35.1,-106.52,149900.0,11.59,87112
194,39.98,-75.83,183500.0,-2.42,19320
195,40.43,-105.09,270800.0,12.0,80538
196,35.76,-78.71,152900.0,-2.58,27606
197,33.08,-96.73,244100.0,5.85,75025
198,26.82,-80.14,224500.0,13.53,33418
199,30.08,-81.86,128700.0,6.17,32068
200,33.44,-111.71,165100.0,22.63,85205
201,44.15,-94.0,167800.0,1.9,56001
202,39.92,-105.06,329300.0,14.35,80020
203,35.15,-106.57,162300.0,11.59,87109
204,41.45,-74.47,133200.0,-5.13,10940
205,33.81,-116.47,209200.0,20.88,92234
206,38.91,-104.77,203800.0,10.39,80918
207,40.32,-79.72,107300.0,-4.5,15642
208,26.23,-80.09,339500.0,14.17,33062
209,35.39,-119.12,238400.0,16.49,93312
210,40.55,-80.05,155300.0,-4.17,15237
211,32.85,-117.25,783900.0,17.93,92037
212,32.28,-95.3,166400.0,5.34,75703
213,40.57,-74.12,355700.0,-1.85,10306
214,25.78,-80.23,231900.0,14.28,33125
215,35.58,-97.56,95700.0,8.67,73120
216,39.09,-77.17,340300.0,3.12,20850
217,33.84,-117.91,488500.0,22.25,92805
218,33.65,-86.71,72400.0,3.0,35215
219,34.18,-79.77,87300.0,1.91,29501
220,35.04,-106.69,116100.0,11.76,87105
221,39.33,-84.55,77400.0,-1.88,45014
222,35.89,-78.64,142700.0,-2.61,27615
223,26.56,-82.02,154700.0,11.21,33914
224,47.72,-122.3,516500.0,7.46,98125
225,34.25,-84.49,138100.0,2.65,30114
226,35.87,-80.09,73000.0,-0.24,27360
227,39.9,-82.97,78500.0,-3.78,43207
228,32.75,-117.16,576700.0,18.73,92103
229,32.89,-111.75,135400.0,22.68,85122
230,41.51,-87.59,68900.0,-1.0,60411
231,28.05,-82.45,115800.0,7.9,33612
232,33.16,-87.51,121200.0,3.4,35405
233,39.67,-104.83,242600.0,14.14,80014
234,34.18,-118.62,471200.0,21.78,91367
235,44.02,-121.3,374300.0,5.56,97702
236,33.52,-84.36,74600.0,2.78,30236
237,36.12,-115.05,127900.0,17.79,89122
238,36.17,-94.04,96000.0,4.0,72764
239,28.21,-82.68,116300.0,7.57,34655
240,33.98,-117.34,245600.0,23.32,92507
241,37.17,-93.25,90700.0,2.0,65804
242,41.84,-87.76,143100.0,-0.9,60804
243,45.01,-93.16,199300.0,1.5,55113
244,42.15,-76.06,82300.0,-9.28,13760
245,43.74,-87.72,83500.0,-1.75,53081
246,35.87,-78.54,131100.0,-2.5,27616
247,33.25,-111.86,270000.0,22.63,85248
248,42.66,-83.12,180000.0,-2.91,48307
249,40.81,-81.95,120300.0,-3.55,44691
250,33.84,-117.95,387400.0,22.25,92801
251,39.83,-86.08,73700.0,-2.0,46226
252,34.07,-118.47,1075400.0,21.81,90049
253,39.65,-79.94,153100.0,-4.19,26505
254,34.22,-77.89,141100.0,0.4,28403
255,42.73,-78.84,150400.0,-5.6,14075
256,40.71,-73.24,300600.0,-1.78,11706
257,34.1,-117.97,394300.0,22.38,91706
258,34.13,-117.21,210400.0,23.76,92346
259,39.87,-104.92,230300.0,14.34,80229
260,26.66,-80.13,103600.0,13.39,33415
261,32.81,-96.81,322100.0,5.86,75219
262,38.46,-77.43,221000.0,3.34,22554
263,33.6,-111.89,265100.0,22.63,85260
264,48.07,-122.16,272700.0,8.02,98270
265,37.85,-122.22,926500.0,13.24,94611
266,32.25,-110.95,165300.0,22.97,85719
267,29.49,-81.2,164400.0,5.24,32164
268,43.07,-73.74,292000.0,-6.0,12866
269,38.79,-90.28,77600.0,4.87,63033
270,29.56,-98.36,119300.0,7.25,78233
271,25.49,-80.44,152200.0,14.5,33033
272,34.83,-82.35,118400.0,3.77,29607
273,33.78,-118.18,377500.0,22.01,90813
274,38.21,-84.56,135200.0,-3.0,40324
275,30.52,-87.22,86700.0,6.57,32514
276,39.95,-75.17,707900.0,-2.38,19103
277,29.93,-90.1,387100.0,5.35,70115
278,33.44,-112.38,209200.0,22.55,85338
279,40.57,-89.62,69100.0,1.25,61554
280,41.46,-81.78,64400.0,-2.9,44111
281,40.79,-77.85,203100.0,-4.33,16801
282,37.78,-122.46,1425100.0,13.2,94118
283,42.02,-91.66,93700.0,0.04,52402
284,39.9,-104.94,280300.0,14.34,80233
285,41.25,-81.83,125500.0,-2.89,44212
286,34.87,-82.32,130200.0,3.75,29615
287,47.7,-117.44,137800.0,3.61,99205
288,25.96,-80.14,344400.0,14.29,33180
289,35.32,-80.75,120600.0,0.09,28262
290,32.71,-117.05,397400.0,18.94,92114
291,38.76,-121.29,276600.0,13.13,95678
292,47.14,-122.16,319900.0,7.55,98391
293,39.24,-84.54,86200.0,-1.59,45231
294,33.5,-112.03,221800.0,22.56,85016
295,37.25,-80.05,135600.0,-0.01,24018
296,33.87,-79.06,104400.0,1.36,29526
297,34.17,-118.37,567300.0,22.25,91601
298,42.23,-88.33,142600.0,-1.23,60014
299,34.92,-82.32,112400.0,3.78,29687
300,26.22,-80.22,144400.0,13.99,33068
301,29.41,-95.25,116800.0,3.67,77511
302,38.99,-76.55,284400.0,2.94,21401
