,Lat,Lng,Price,Tempature (F),ZipCode
2850,43.85,-111.69,162100.0,4.69,83448
2851,38.84,-107.96,190700.0,8.63,81418
2852,40.93,-82.21,141800.0,-3.82,44866
2853,42.52,-114.3,118100.0,10.33,83334
2854,43.88,-75.46,114000.0,-4.51,13620
2855,38.07,-97.35,135900.0,8.81,67117
2856,40.05,-84.34,141900.0,-2.57,45359
2857,40.1,-79.88,134700.0,-4.0,15423
2858,40.22,-78.94,113800.0,-3.33,15928
2859,40.71,-83.83,105200.0,-3.82,45812
2860,40.09,-80.07,164600.0,-4.0,15360
2861,40.32,-80.19,203400.0,-4.17,15321
2862,38.69,-94.57,223700.0,2.17,64734
2863,37.84,-87.0,154200.0,-2.29,42355
2864,40.61,-83.96,121100.0,-3.39,45896
2865,42.26,-89.84,125000.0,-1.85,61062
2866,31.04,-87.67,117500.0,5.2,36562
2867,42.21,-85.11,118600.0,-2.8,49033
2868,42.62,-74.06,203300.0,-6.0,12059
2869,39.57,-75.6,193200.0,-1.32,19706
2870,36.81,-97.72,107100.0,9.51,73759
2871,47.75,-122.52,417700.0,7.16,98342
2872,36.84,-79.99,136900.0,0.43,24102
2873,39.1,-94.49,50200.0,2.16,64125
2874,46.87,-113.86,299100.0,2.0,59823
2875,39.88,-86.54,166400.0,-2.72,46149
2876,44.15,-92.88,157900.0,0.36,55985
2877,38.8,-107.97,209600.0,8.62,81410
2878,39.07,-85.71,120700.0,-2.0,47273
2879,37.39,-97.11,84600.0,8.75,67146
2880,40.63,-76.19,96500.0,-2.13,17929
2881,45.46,-92.73,197500.0,0.18,55084
2882,42.7,-77.28,133900.0,-7.8,14507
2883,40.95,-85.01,140700.0,-3.38,46745
2884,42.29,-91.78,161200.0,-0.64,52352
2885,47.38,-110.91,211000.0,6.0,59412
2886,41.78,-76.38,154600.0,-8.0,18854
2887,43.33,-78.14,128400.0,-5.32,14477
2888,41.76,-80.86,145500.0,-3.58,44010
2889,38.9,-94.58,149400.0,2.17,64146
2890,40.09,-87.05,103800.0,-3.49,47990
2891,41.74,-75.13,188500.0,-6.88,18415
2892,38.88,-89.74,159400.0,4.21,62001
2893,41.71,-76.49,140600.0,-5.49,18832
2894,41.38,-83.94,118000.0,-3.84,43534
2895,42.04,-74.16,409700.0,-6.5,12409
2896,38.2,-87.29,135500.0,-3.0,47619
2897,38.03,-107.67,337100.0,7.9,81427
2898,42.98,-73.35,152900.0,-6.14,12057
2899,38.43,-91.17,194200.0,5.96,63013
2900,32.9,-84.06,123300.0,4.65,31016
2901,40.64,-104.76,212500.0,12.6,80650
2902,41.98,-74.21,237500.0,-6.5,12481
2903,33.95,-80.22,80300.0,3.02,29104
2904,42.5,-85.25,163000.0,-2.4,49050
2905,46.29,-92.83,165700.0,-0.29,55795
2906,38.17,-97.12,60700.0,8.82,66866
2907,38.53,-99.31,77000.0,12.34,67548
2908,38.08,-104.97,239100.0,14.26,81023
2909,38.16,-79.19,239800.0,0.72,24479
2910,44.49,-123.96,271800.0,7.4,97376
2911,38.47,-77.7,282000.0,2.91,22742
2912,37.96,-98.59,66400.0,8.88,67578
2913,41.66,-96.64,137600.0,3.18,68057
2914,30.5,-87.47,180300.0,6.2,36574
2915,42.18,-74.55,177400.0,-8.0,12430
2916,40.42,-89.65,122900.0,2.27,61534
2917,42.16,-93.51,149500.0,0.45,50236
2918,48.02,-116.99,222700.0,3.0,83804
2919,37.37,-79.91,215500.0,0.26,24077
2920,40.37,-85.95,98100.0,-2.97,46076
2921,44.73,-94.33,114600.0,2.6,55312
2922,47.22,-121.0,233000.0,4.93,98941
2923,42.58,-92.16,154800.0,-0.98,50626
2924,45.2,-123.96,382400.0,8.0,97135
2925,48.01,-117.56,220800.0,3.62,99110
2926,45.65,-121.38,390000.0,9.0,97040
2927,44.28,-93.95,225400.0,1.75,56050
2928,42.84,-77.9,128100.0,-6.96,14533
2929,36.75,-76.84,192500.0,1.01,23315
2930,37.19,-95.3,70900.0,5.02,67330
2931,40.11,-86.76,104000.0,-2.7,47940
2932,36.73,-81.19,127100.0,-1.38,24326
2933,38.19,-86.38,82100.0,-2.54,47137
2934,41.69,-90.37,214900.0,-0.19,52768
2935,43.7,-73.72,270400.0,-6.47,12815
2936,37.32,-119.56,294500.0,14.5,93604
2937,42.7,-75.06,129300.0,-7.0,13348
2938,38.33,-87.45,106100.0,-3.59,47649
2939,42.56,-78.5,144500.0,-7.19,14030
2940,40.07,-84.11,183800.0,-2.74,45312
2941,35.57,-97.41,343000.0,8.63,73151
2942,44.14,-91.97,161600.0,0.42,55910
2943,40.34,-83.47,182900.0,-3.77,43067
2944,43.1,-75.45,136800.0,-6.44,13490
2945,34.55,-85.03,129000.0,1.53,30746
2946,44.22,-93.7,263200.0,1.57,56028
2947,42.01,-93.31,137900.0,0.79,50056
2948,37.45,-113.27,338000.0,13.04,84757
2949,39.5,-98.54,72000.0,1.3,67437
2950,39.96,-85.0,110900.0,-1.98,47393
2951,44.38,-73.84,194600.0,-4.57,12997
2952,37.78,-97.64,181800.0,8.79,67001
2953,41.7,-83.93,146900.0,-3.57,43540
2954,43.8,-96.96,169300.0,1.02,57018
2955,43.24,-85.83,160500.0,-1.0,49318
2956,46.32,-122.76,240400.0,7.69,98645
2957,42.23,-73.73,201000.0,-5.97,12513
2958,39.9,-87.02,89500.0,-3.13,47989
2959,43.0,-84.85,139700.0,-1.75,48873
2960,41.56,-83.26,153600.0,-3.49,43432
2961,39.88,-81.91,109000.0,-2.7,43734
2962,43.67,-116.83,148900.0,6.78,83626
2963,41.24,-83.64,118300.0,-3.5,43413
2964,43.04,-84.94,118500.0,-1.75,48860
2965,40.64,-80.08,301000.0,-4.59,15015
2966,34.98,-96.88,110700.0,8.03,74826
2967,43.25,-84.3,119200.0,-1.63,48614
2968,42.25,-88.74,173100.0,-2.48,61038
2969,40.27,-75.26,310700.0,-2.46,18915
2970,41.03,-88.77,102500.0,-0.18,61319
2971,43.67,-94.59,86400.0,2.2,56181
2972,43.75,-73.53,340500.0,-6.5,12836
2973,37.67,-77.79,290100.0,2.0,23039
2974,40.39,-83.18,214500.0,-4.11,43066
2975,47.4,-93.08,66600.0,-1.4,55753
2976,45.81,-94.42,189500.0,0.14,56314
2977,43.61,-97.07,161600.0,1.33,57035
2978,47.98,-116.55,366900.0,3.82,83803
2979,41.48,-86.69,61100.0,-1.99,46346
2980,43.89,-94.18,135400.0,2.0,56010
2981,41.87,-83.93,132200.0,-3.54,49268
2982,38.46,-87.5,93100.0,-3.5,47640
2983,46.89,-95.72,251800.0,-2.07,56578
2984,40.76,-86.59,87800.0,-2.84,47926
2985,43.76,-93.32,119400.0,0.0,56016
2986,38.67,-87.31,76100.0,-3.5,47597
2987,35.71,-96.77,68000.0,8.69,74026
2988,42.33,-96.29,170100.0,2.99,51052
2989,41.61,-86.54,148200.0,-2.29,46365
2990,38.5,-90.83,121300.0,6.23,63039
2991,40.23,-105.52,457300.0,8.55,80510
2992,44.35,-93.09,259800.0,1.44,55053
2993,41.77,-84.0,111600.0,-3.5,49248
2994,39.32,-120.43,492400.0,11.04,95728
2995,38.64,-91.34,147800.0,5.97,63014
2996,48.4,-106.54,174500.0,-1.0,59231
2997,32.11,-80.87,468900.0,5.22,29915
2998,41.67,-74.89,121100.0,-5.69,12720
2999,30.47,-87.92,467900.0,5.07,36564
